Name,Description,Price,Image URL,Product URL
"Scandi Days
4-sits Soffa med Schäslong Menard Höger
Beige","Menard är en modern och avskalad soffa med schäslong i slitstark manchesterklädsel. De rena former och smala benen i svartlackerad stål är en blinkning till den industriella stilen. De höga benen gör det dessutom lättare att komma åt med dammsugaren. Soffans och sittplymåer är stoppade med polyeter, kallskum och fiber vilket tillsammans med det generösa sittdjupet gör att du bjuds på en skön komfort för socialt umgänge och sena filmkvällar. De fyra matchande kuddarna som ingår ger dig ett bra extra stöd och bidrar ytterligare till komforten.",15 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-divansoffa-sch%C3%A4slongsoffa-4-sits-soffa-med-sch%C3%A4slong-menard-h%C3%B6ger-beige/1491875(5)-733d3e1546.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/4-sits-soffa-med-sch%C3%A4slong-menard-h%C3%B6ger-beige-p1232838-v991875
"4-sits Soffa Florenz
Grå/Beige",Lär känna Florenz 4-sits soffa! En härlig soffa med drömmig komfort i mjuk tygklädsel. Soffans klassiskt skandinaviska design förstärks av de raka träbenen i oljad ek och ger ditt vardagsrum ett stilrent uttryck som håller stilen år efter år. Till soffan medföljer dekorativa prydnadskuddar för extra komfort och stil. Tack vare soffans avtagbara klädsel på rygg- och sittdynor samt vändbara ryggdynor förenklas soffans skötsel och hållbarheten förlängs!,8 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-4-sits-soffa-florenz-gr%C3%A5beige/B000000307(1)-9c702e4a55.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/4-sits-soffa/4-sits-soffa-florenz-gr%C3%A5beige-plg72-v3062141
"3-sits Soffa Florenz med Schäslong Höger
Grå/Beige",Lär känna Florenz 3-sits soffa med Schäslong! En härlig schäslongsoffa med drömmig komfort i mjuk tygklädsel. Soffans klassiskt skandinaviska design förstärks av de raka träbenen i oljad ek och ger ditt vardagsrum ett stilrent uttryck som håller stilen år efter år. Till soffan medföljer dekorativa prydnadskuddar för extra komfort och stil. Tack vare soffans avtagbara klädsel på rygg- och sittdynor samt vändbara ryggdynor förenklas soffans skötsel och hållbarheten förlängs!,13 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-divansoffa-sch%C3%A4slongsoffa-3-sits-soffa-florenz-med-sch%C3%A4slong-h%C3%B6ger-gr%C3%A5beige/B000000271(1)-d97499e4d4.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/3-sits-soffa-florenz-med-sch%C3%A4slong-h%C3%B6ger-gr%C3%A5beige-plg70-v3062105
"3-sits Soffa Florenz med Divan Höger
Grå/Beige",Lär känna Florenz 3-sits soffa med Divan! En härlig divansoffa med drömmig komfort i mjuk tygklädsel. Soffans klassiskt skandinaviska design förstärks av de raka träbenen i oljad ek och ger ditt vardagsrum ett stilrent uttryck som håller stilen år efter år. Till soffan medföljer dekorativa prydnadskuddar för extra komfort och stil. Tack vare soffans avtagbara klädsel på rygg- och sittdynor samt vändbara ryggdynor förenklas soffans skötsel och hållbarheten förlängs!,12 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-divansoffa-sch%C3%A4slongsoffa-3-sits-soffa-florenz-med-divan-h%C3%B6ger-gr%C3%A5beige/B000000273(1)-853ee0ef8e.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/3-sits-soffa-florenz-med-divan-h%C3%B6ger-gr%C3%A5beige-plg71-v3062107
"4-sits Soffa Florenz Hel dyna
Grå/Beige",Lär känna Florenz 4-sits soffa med hel dyna! En härlig soffa med drömmig komfort i mjuk tygklädsel. Soffans klassiskt skandinaviska design förstärks av de raka träbenen i oljad ek och ger ditt vardagsrum ett stilrent uttryck som håller stilen år efter år. Soffan har hel dyna och medföljande dekorativa prydnadskuddar för extra komfort och stil. Tack vare soffans avtagbara klädsel på rygg- och sittdynor samt vändbara ryggdynor förenklas soffans skötsel och hållbarheten förlängs!,8 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-4-sits-soffa-florenz-hel-dyna-gr%C3%A5beige/B000000306(1)-c698f76f17.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/4-sits-soffa/4-sits-soffa-florenz-hel-dyna-gr%C3%A5beige-plg73-v3062140
"Scandi Days
4-sits Soffa med Schäslong Menard Höger
Beige","Menard är en modern och avskalad soffa med schäslong i slitstark manchesterklädsel. De rena former och smala benen i svartlackerad stål är en blinkning till den industriella stilen. De höga benen gör det dessutom lättare att komma åt med dammsugaren. Soffans och sittplymåer är stoppade med polyeter, kallskum och fiber vilket tillsammans med det generösa sittdjupet gör att du bjuds på en skön komfort för socialt umgänge och sena filmkvällar. De fyra matchande kuddarna som ingår ger dig ett bra extra stöd och bidrar ytterligare till komforten.",15 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-divansoffa-sch%C3%A4slongsoffa-4-sits-soffa-med-sch%C3%A4slong-menard-h%C3%B6ger-beige/1491875(5)-733d3e1546.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/4-sits-soffa-med-sch%C3%A4slong-menard-h%C3%B6ger-beige-p1232838-v991875
Soffa Malley 4-sits med Schäslong Vänster,Malley är en komfort och stilren soffa med en schäslong på vänster sida. Med sina raka linjer och sitt moderna utseende tar den rummen i ditt hem till nya höjder.,8 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-soffa-malley-4-sits-med-sch%C3%A4slong-v%C3%A4nster/1490053(27)-c2b2194735.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/4-sits-soffa-med-divan/soffa-malley-4-sits-med-sch%C3%A4slong-v%C3%A4nster-p645075-v990053
"Manor House
Soffgrupp Walton Lyx 3-sits+2-sits+Fåtölj Sammet
Mörkgrå","Walton Lyx är soffgruppen med pondus och charm. Den rustika framtoningen och klassiska designen är karaktäristiska för den historiskt brittiska stilen i sann Chesterfield-anda. Vackert knappbeströdda möbler av god kvalitet blir ett stilfullt statement som ger tyngd åt ditt vardagsrum. Möblernas stoppade sitsar garanterar hög komfort och du sitter skönt och bekvämt i våra Walter Lyx - möbler. Med en 2-sits, 3-sits och en fåtölj ur samma serie får du ett enhetligt vardagsrum på nolltid och den estetiska dynamiken gör att ditt hem ser ut att vara närmast hämtat ur ett interiörmagasin.",17 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-soffgrupp-soffgrupp-walton-lyx-3-sits-2-sits-f%C3%A5t%C3%B6lj-sammet-m%C3%B6rkgr%C3%A5/688633(1)-6dd22ab913.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/soffgrupp/soffgrupp-walton-lyx-3-sits-2-sits-f%C3%A5t%C3%B6lj-sammet-m%C3%B6rkgr%C3%A5-p600918-v272307
Soffa Malley 4-sits med Schäslong Höger,"Malley är en 3-sits soffa med en vändbar divan, ett perfekt sätt för dig att sträcka ut dig i soffan efter en lång dag eller för att enkelt skapa fler sittplatser. Med sitt subtila och charmiga utseende blir det hemmets höjdpunkt - alla dagar i veckan.",8 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-divansoffa-sch%C3%A4slongsoffa-soffa-malley-4-sits-med-sch%C3%A4slong-h%C3%B6ger/1490082(25)-0853dcb901.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/divansoffa-sch%C3%A4slongsoffa/soffa-malley-4-sits-med-sch%C3%A4slong-h%C3%B6ger-p645073-v990082
"3-sits Soffa Elise
Beige Teddy","Elise 3-sits soffa fångar upp den bubbliga, mjuka designtrenden och erbjuder en perfekt balans mellan stil och komfort. Med sin mjuka klädsel och generösa sittdjup bidrar Elise bubbelsoffa till ett inbjudande och modernt vardagsrum. De diskreta svarta plastbenen och den stabila träramen kompletterar soffans moderna design, vilket tillsammans med de breda armstöden och bulliga design gör den till ett statement i ditt vardagsrum.",9 999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-soffor-/2297070(1)-7b6ec334f1.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/soffor/3-sits-soffa/3-sits-soffa-elise-beige-teddy-p1797070
